Question	Predicted Parse	Gold Parse	Result
student_assessment: what are the ids of the students who registered course statistics by order of registration date? | addresses : address_id , line_1 , line_2 , city , zip_postcode , state_province_county , country | people : person_id , first_name , middle_name , last_name , cell_mobile_number , email_address , login_name , password | students : student_id , student_details | courses : course_id , course_name , course_description , other_details | people_addresses : person_address_id , person_id , address_id , date_from , date_to | student_course_registrations : student_id , course_id , registration_date | student_course_attendance : student_id , course_id , date_of_attendance | candidates : candidate_id , candidate_details | candidate_assessments : candidate_id , qualification , assessment_date , asessment_outcome_code	SELECT student_id FROM Student_Course_Registrations WHERE course_id = 301 ORDER BY registration_date	"select t2.student_id from courses as t1 join student_course_registrations as t2 on t1.course_id = t2.course_id where t1.course_name = ""statistics"" order by t2.registration_date"	1
chinook_1: what are the last names of customers without invoice totals exceeding 20? | album : albumid , title , artistid | artist : artistid , name | customer : customerid , firstname , lastname , company , address , city , state , country , postalcode , phone , fax , email , supportrepid | employee : employeeid , lastname , firstname , title , reportsto , birthdate , hiredate , address , city , state , country , postalcode , phone , fax , email | genre : genreid , name | invoice : invoiceid , customerid , invoicedate , billingaddress , billingcity , billingstate , billingcountry , billingpostalcode , total | invoiceline : invoicelineid , invoiceid , trackid , unitprice , quantity | mediatype : mediatypeid , name | playlist : playlistid , name | playlisttrack : playlistid , trackid | track : trackid , name , albumid , mediatypeid , genreid , composer , milliseconds , bytes , unitprice	SELECT LastName FROM customer WHERE customer.CustomerId NOT IN (SELECT customer.CustomerId FROM customer JOIN invoice ON invoice.CustomerId = customer.CustomerId WHERE invoice.Total > 20)	select lastname from customer except select t1.lastname from customer as t1 join invoice as t2 on t1.customerid = t2.customerid where t2.total > 20	0
driving_school: when did customer with first name as carole and last name as bernhard became a customer? | addresses : address_id , line_1_number_building , city , zip_postcode , state_province_county , country | staff : staff_id , staff_address_id , nickname , first_name , middle_name , last_name , date_of_birth , date_joined_staff , date_left_staff | vehicles : vehicle_id , vehicle_details | customers : customer_id , customer_address_id , customer_status_code , date_became_customer , date_of_birth , first_name , last_name , amount_outstanding , email_address , phone_number , cell_mobile_phone_number | customer_payments : customer_id , datetime_payment , payment_method_code , amount_payment | lessons : lesson_id , customer_id , lesson_status_code , staff_id , vehicle_id , lesson_date , lesson_time , price	SELECT date_became_customer FROM Customers WHERE first_name = 'Carole' AND last_name = 'Bernhard'	"select date_became_customer from customers where first_name = ""carole"" and last_name = ""bernhard"";"	0
csu_1: what is the number of faculty at long beach state university in 2002? | campuses : id , campus , location , county , year | csu_fees : campus , year , campusfee | degrees : year , campus , degrees | discipline_enrollments : campus , discipline , year , undergraduate , graduate | enrollments : campus , year , totalenrollment_ay , fte_ay | faculty : campus , year , faculty	"SELECT Faculty FROM faculty WHERE Campus = ""Long Beach State University"" AND Year = 2002"	"select faculty from faculty as t1 join campuses as t2 on t1.campus = t2.id where t1.year = 2002 and t2.campus = ""long beach state university"""	1
allergy_1: how many male students (sex is 'm') are allergic to any type of food? | allergy_type : allergy , allergytype | has_allergy : stuid , allergy | student : stuid , lname , fname , age , sex , major , advisor , city_code	SELECT count(*) FROM Student S, Has_Allergy H, Allergy_Type A WHERE S.StuID = H.StuID AND H.Allergy = A.Allergy AND S.Sex = 'M' AND A.AllergyType = 'food'	"select count(*) from student where sex = ""m"" and stuid in (select stuid from has_allergy as t1 join allergy_type as t2 on t1.allergy = t2.allergy where t2.allergytype = ""food"")"	0
cre_theme_park: which tourist attractions are related to royal family? tell me their details and how we can get there. | ref_hotel_star_ratings : star_rating_code , star_rating_description | locations : location_id , location_name , address , other_details | ref_attraction_types : attraction_type_code , attraction_type_description | visitors : tourist_id , tourist_details | features : feature_id , feature_details | hotels : hotel_id , star_rating_code , pets_allowed_yn , price_range , other_hotel_details | tourist_attractions : tourist_attraction_id , attraction_type_code , location_id , how_to_get_there , name , description , opening_hours , other_details | street_markets : market_id , market_details | shops : shop_id , shop_details | museums : museum_id , museum_details | royal_family : royal_family_id , royal_family_details | theme_parks : theme_park_id , theme_park_details | visits : visit_id , tourist_attraction_id , tourist_id , visit_date , visit_details | photos : photo_id , tourist_attraction_id , name , description , filename , other_details | staff : staff_id , tourist_attraction_id , name , other_details | tourist_attraction_features : tourist_attraction_id , feature_id	SELECT Name, How_to_Get_There FROM Tourist_Attractions WHERE Tourist_Attraction_ID IN (SELECT Royal_Family_ID FROM Royal_Family)	select t1.royal_family_details , t2.how_to_get_there from royal_family as t1 join tourist_attractions as t2 on t1.royal_family_id = t2.tourist_attraction_id	0
college_3: find the max and min grade point for all letter grade. | student : stuid , lname , fname , age , sex , major , advisor , city_code | faculty : facid , lname , fname , rank , sex , phone , room , building | department : dno , division , dname , room , building , dphone | member_of : facid , dno , appt_type | course : cid , cname , credits , instructor , days , hours , dno | minor_in : stuid , dno | enrolled_in : stuid , cid , grade | gradeconversion : lettergrade , gradepoint	SELECT MAX(gradepoint), MIN(gradepoint) FROM Gradeconversion	select max(gradepoint) , min(gradepoint) from gradeconversion	1
tracking_grants_for_research: what details are there on the research staff? list the result in ascending alphabetical order. | document_types : document_type_code , document_description | documents : document_id , document_type_code , grant_id , sent_date , response_received_date , other_details | grants : grant_id , organisation_id , grant_amount , grant_start_date , grant_end_date , other_details | organisation_types : organisation_type , organisation_type_description | organisations : organisation_id , organisation_type , organisation_details | project_outcomes : project_id , outcome_code , outcome_details | project_staff : staff_id , project_id , role_code , date_from , date_to , other_details | projects : project_id , organisation_id , project_details | research_outcomes : outcome_code , outcome_description | research_staff : staff_id , employer_organisation_id , staff_details | staff_roles : role_code , role_description | tasks : task_id , project_id , task_details , eg agree objectives	SELECT * FROM `Research_Staff` ORDER BY `staff_details` ASC	select staff_details from research_staff order by staff_details asc	0
"club_1: how many members of club ""bootup baltimore"" are younger than 18? | student : stuid , lname , fname , age , sex , major , advisor , city_code | club : clubid , clubname , clubdesc , clublocation | member_of_club : stuid , clubid , position"	SELECT count(*) FROM Student, Member_of_club, Club WHERE Student.StuID = Member_of_club.StuID AND Member_of_club.ClubID = Club.ClubID AND Club.ClubName = 'Bootup Baltimore' AND Student.Age < 18	"select count(*) from club as t1 join member_of_club as t2 on t1.clubid = t2.clubid join student as t3 on t2.stuid = t3.stuid where t1.clubname = ""bootup baltimore"" and t3.age < 18"	0
hr_1: what are the department names, cities, and state provinces for each department? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT DEPARTMENT_NAME, CITY, STATE_PROVINCE FROM departments JOIN locations USING (LOCATION_ID)	select t1.department_name , t2.city , t2.state_province from departments as t1 join locations as t2 on t2.location_id = t1.location_id	1
hr_1: can you return all detailed info of jobs which was done by any of the employees who is presently earning a salary on and above 12000? | regions : region_id , region_name | countries : country_id , country_name , region_id | departments : department_id , department_name , manager_id , location_id | jobs : job_id , job_title , min_salary , max_salary | employees : employee_id , first_name , last_name , email , phone_number , hire_date , job_id , salary , commission_pct , manager_id , department_id | job_history : employee_id , start_date , end_date , job_id , department_id | locations : location_id , street_address , postal_code , city , state_province , country_id	SELECT *  FROM jobs  WHERE job_id IN (     SELECT job_id      FROM employees      WHERE salary > 12000 ) /* SELECT * FROM jobs WHERE job_id IN (SELECT job_id FROM employees WHERE salary > 12000)	select * from job_history as t1 join employees as t2 on t1.employee_id = t2.employee_id where t2.salary >= 12000	0
